Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Viviendas y plazas,Periodo,Total
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2025M05,"7,266"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2024M11,"6,89"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2024M08,"7,198"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2024M02,"6,329"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2023M08,"6,46"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2023M02,"5,148"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2022M08,"5,338"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2022M02,"4,451"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2021M08,"4,855"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2021M02,"4,466"
Total Nacional,01 Andalucía,04 Almería,Viviendas turísticas,2020M08,"4,811"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2025M05,"16,624"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2024M11,"15,23"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2024M08,"16,91"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2024M02,"14,534"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2023M08,"14,894"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2023M02,"12,424"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2022M08,"13,357"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2022M02,"10,761"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2021M08,"11,754"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2021M02,"10,801"
Total Nacional,01 Andalucía,11 Cádiz,Viviendas turísticas,2020M08,"11,82"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2025M05,"2,972"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2024M11,"2,748"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2024M08,"2,708"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2024M02,"2,521"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2023M08,"2,25"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2023M02,"2,006"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2022M08,"1,827"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2022M02,"1,535"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2021M08,"1,486"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2021M02,"1,487"
Total Nacional,01 Andalucía,14 Córdoba,Viviendas turísticas,2020M08,"1,672"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2025M05,"8,305"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2024M11,"8,184"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2024M08,"8,047"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2024M02,"7,187"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2023M08,"6,601"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2023M02,"6,38"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2022M08,"5,78"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2022M02,"5,497"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2021M08,"5,281"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2021M02,"5,268"
Total Nacional,01 Andalucía,18 Granada,Viviendas turísticas,2020M08,"5,594"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2025M05,"2,742"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2024M11,"2,552"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2024M08,"2,824"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2024M02,"2,415"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2023M08,"2,456"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2023M02,"1,961"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2022M08,"2,1"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2022M02,"1,769"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2021M08,"1,978"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2021M02,"1,763"
Total Nacional,01 Andalucía,21 Huelva,Viviendas turísticas,2020M08,"1,969"
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2025M05,"1,136"
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2024M11,"1,075"
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2024M08,"1,05"
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2024M02,953
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2023M08,864
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2023M02,763
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2022M08,748
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2022M02,597
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2021M08,602
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2021M02,510
Total Nacional,01 Andalucía,23 Jaén,Viviendas turísticas,2020M08,527
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2025M05,"48,412"
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2024M11,"45,543"
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2024M08,"48,034"
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2024M02,"41,038"
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2023M08,"39,041"
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2023M02,"35,36"
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2022M08,"35,06"
Total Nacional,01 Andalucía,29 Málaga,Viviendas turísticas,2022M02,"30,659"
