provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
TOTAL NACIONAL,"212,36","213,85","169,57","182,52","177,63","195,45","168,38","187,4","157,2","161,49","147,54","147,87","141,48","146,44","142,62","155,6","149,86","153,28","156,42","151,88","157,73","163,44","150,92","171,7","167,48","166,37","162,03","153,01","163,06","162,94","155,08","157,65","159,65","164,45","162,02","157,4","164,12","139,63","137,45","142,07","136,38","162,43","145,97","160,13","162,38","162,8","150,22","159,99","148,17","154,49","160,48","154,64","167,43","166,63","168,28","175,54","172,73"
Andalucía,"188,18","199,07","180,62","186,22","177,08","167,44","169,93","159,17","131,08","148,07","164,54","129,07","158,25","155,62","148,73","155,77","150,36","152,81","140,08","144,34","145,63","150,38","148,02","167,07",162,"154,55","159,67","145,63","155,15","165,82","160,59","162,6","172,13","177,69","170,9","156,75","157,06","148,5","145,03","145,47","132,3","170,89","163,12","172,37","172,36","159,8","166,49","162,6","168,88","170,5","175,6","152,32","188,09","164,81","192,17","192,53","192,69"
Almería           ,"272,48","188,87","178,54","166,06","161,46","188,16","219,09","141,43","174,7","120,32","175,18","154,45","171,3","144,59","142,37","159,91","186,67","187,76","153,54","149,3","136,84","152,87","152,32","163,13","144,82","162,13","145,5","143,41","159,03","134,13","153,19","152,61","149,19","154,05","147,68","152,32","147,83","135,35","153,4","153,91","126,93","167,18","162,38","158,95","168,03","128,01","165,57","157,36","188,58","187,99","159,86","161,94","149,41","157,37","156,5","151,49","250,38"
Cádiz             ,"250,49","219,23","182,1","234,72","212,88","262,34","156,56","151,78","130,94","140,96","167,61","123,1","138,63","135,67","147,57","157,13","155,93","148,38","151,2","145,79","157,44","135,06","155,89","145,41","136,98","142,45","138,79","132,42","152,38","144,63","156,92","162,78","145,41","173,06","161,95","163,66","131,48","173,21","187,78","147,66","155,95","164,14","184,4","190,43","160,56","185,87","170,33","171,66","207,29","202,94","212,23","170,1","193,8","216,97","207,8","152,4","214,98"
Córdoba           ,"103,92","159,32","172,76","179,15","163,21","142,55","155,42","160,25","141,17","156,39","165,48","177,68","166,61","140,92","165,76","145,77","128,15","125,89","118,08","107,19","130,08","143,39","128,91","138,7","157,37","134,38","127,49","118,79","134,14","131,68","101,14","141,45","130,17","147,64","138,98","134,98","132,23","124,01","123,39","131,26","129,24","134,08","139,68","143,51","154,62","163,59","136,79","131,83","123,77","136,5","137,92","114,54","110,96","144,98","147,21","193,72","155,37"
Granada           ,173,"161,66","141,44","138,19","173,02","164,92","170,91","160,44","85,95","162,35","130,77",96,"130,11","116,58","128,35","109,48","124,77","128,23","109,1","126,3","113,35","102,21","95,92","141,39","138,64","142,91","125,65","117,07","109,34","120,52","125,44","115,3","143,51","138,47","128,5","127,84","146,12","107,47","110,47","122,02","88,04","127,3","134,04","141,63","132,04","134,72","100,86","134,57","120,29","137,98","84,51","92,3","156,82","130,3","145,96","120,9","111,05"
Huelva            ,"186,19","255,26","177,02","159,34","85,45","185,17","147,84","166,84","164,72","53,98","134,13","112,66","117,21","137,29","127,42","121,48","121,54","105,54","130,77","105,54","111,88","101,7","122,71","110,2","107,09","134,28","129,14","123,14","107,72","126,26","112,5","103,56","111,16","99,14","104,68","102,88","106,22","130,47","123,51","111,67","120,84","105,36","111,55","128,93","109,34","109,94","123,75","94,93","132,1","112,61","116,28","101,22","96,63","117,14","132,96","110,06","136,57"
Jaén              ,"139,11","149,35","133,04","158,94","141,48","146,87","145,01","117,62","127,65","133,12","115,23","116,23","114,75","120,72","128,92","131,07","123,35","140,76","124,32","99,42","103,09","124,23","109,53","118,2","117,45","113,82","117,33","119,84","135,08","135,78","131,36","123,21","133,22","147,99","144,5","122,23","114,52","128,15","133,97","146,06","148,84","128,23","110,95","116,27","146,75","115,15","117,41","111,42","105,53","122,54","129,94","145,83","139,89","110,86","137,63","210,9","139,74"
Málaga            ,"293,52","250,65","268,44","201,42","238,52","225,85","206,61","262,99","121,1","218,23","237,62","184,66","172,53","209,31","233,81","193,36","205,57","233,2","235,74","228,06","230,13","227,59","223,41","223,4","228,54","259,18","232,04","203,92","235,09","248,54","231,27","238,03","249,11","269,6","263,85","241,98","238,44","234,08","241,18","248,49","195,18","255,34","221,4","249,45","261,66","276,64","277,2","278,41","251,44","247,82","359,98","259,39","334,15","260,86","293,8","342,56","324,47"
Sevilla           ,"178,92","196,17","174,33","207,44","193,34","121,28","181,64","131,69","183,76","149,85","145,73","122,67","182,33","162,86","122,2","164,59","137,76","134,58","124,41","126,01","122,76","136,43","142,74","165,9","170,99","114,98","155,98","154,21","144,51","172,06","155,79","153,9","172,17","156,84","147,04","145,95","129,5","148,13","125,3","120,88","136,27","149,72","140,09","152,75","155,8","123,83","147,57","134,06","157,76","137,45","135,82","156,08","163,67","129,83","161,56","165,05","180,48"
