provincia-ccaa,2011 - Q1,2011 - Q2,2011 - Q3,2011 - Q4,2012 - Q1,2012 - Q2,2012 - Q3,2012 - Q4,2013 - Q1,2013 - Q2,2013 - Q3,2013 - Q4,2014 - Q1,2014 - Q2,2014 - Q3,2014 - Q4,2015 - Q1,2015 - Q2,2015 - Q3,2015 - Q4,2016 - Q1,2016 - Q2,2016 - Q3,2016 - Q4,2017 - Q1,2017 - Q2,2017 - Q3,2017 - Q4,2018 - Q1,2018 - Q2,2018 - Q3,2018 - Q4,2019 - Q1,2019 - Q2,2019 - Q3,2019 - Q4,2020 - Q1,2020 - Q2,2020 - Q3,2020 - Q4,2021 - Q1,2021 - Q2,2021 - Q3,2021 - Q4,2022 - Q1,2022 - Q2,2022 - Q3,2022 - Q4,2023 - Q1,2023 - Q2,2023 - Q3,2023 - Q4,2024 - Q1,2024 - Q2,2024 - Q3,2024 - Q4,2025 - Q1
Albacete          ,"1203,1","1181,4","1167,2",1159,"1117,6","1088,5","1075,4","1091,5","1027,1","988,1","981,2",940,"944,2","939,6","922,9","931,8","959,5","969,7","945,3","961,3","953,3","934,4","922,2","950,6","936,5","924,8","911,3","932,9","905,1","897,6","916,7","941,8","922,7","942,9","924,8","917,7","893,7","889,5","902,1",913,"896,4","920,3","903,5","918,9","924,7","934,4","929,2","934,9","950,7","951,2","984,6","984,3","1004,9","1006,5","1003,7","1029,1","1063,3"
Alicante/Alacant,1392,"1351,6","1371,9","1381,5","1301,4","1263,9","1283,3","1202,5","1204,7","1207,1","1242,1","1208,6","1206,1",1206,"1196,9","1222,1",1216,"1237,9","1223,8","1240,4","1228,7","1224,2","1240,6","1233,3","1250,1","1239,1","1231,1","1252,9","1274,4","1270,2","1253,8","1289,9","1312,3","1314,8",1307,"1314,6","1294,9","1261,6","1282,8","1291,9",1299,"1320,6","1341,3","1375,1","1411,4","1400,9","1411,8",1402,"1453,7","1463,8","1503,1","1532,3","1560,4","1559,9",1608,"1657,1","1721,9"
Almería           ,"1395,6","1425,2","1359,6","1320,2","1256,8","1191,4","1197,4","1167,5","1173,3","1173,3","1181,3","1119,9",1114,"1115,4","1092,3","1104,7","1076,5","1079,9","1096,4","1103,3","1079,2","1102,6","1091,3","1106,6","1109,3","1094,5","1075,9","1088,8","1096,6","1096,7","1077,3","1091,9","1116,6","1128,2","1116,1","1129,5",1106,"1104,8","1091,4","1113,4","1086,7","1118,6","1152,8","1156,6","1161,5","1151,7","1159,7","1146,8","1156,6","1176,4","1194,6","1205,7","1218,1","1240,8","1241,6","1274,1","1306,6"
Andalucía,"1522,7","1514,2","1480,9","1440,8","1379,2","1344,7","1322,3","1288,5","1285,2",1259,"1237,6","1208,5","1207,7","1207,1","1206,4","1211,1","1208,3",1213,"1218,9","1223,7","1210,6","1223,2","1212,8","1215,9","1227,9","1232,7","1222,7","1245,7","1245,5","1261,5","1267,6","1298,5","1303,7","1304,3","1309,1","1315,5","1312,3","1292,4","1290,4",1310,"1303,1","1327,9","1351,5","1367,5","1399,6","1397,1","1414,3","1431,5","1466,3","1477,2","1501,1","1527,7","1555,7","1588,7","1597,7","1646,2","1695,8"
Araba/Alava,"2116,7","2161,2","2230,4","2299,5",2265,"2269,5","2090,2","2186,3","2122,9","2088,9","2072,2","2049,4",2033,"1990,3","1966,4","1982,1","1938,3","2029,1","1970,3","1967,3","1916,1","1925,4","1911,1","1860,8","1931,1","1905,1","1910,5","1940,6","1902,9","1911,7",1901,"1941,5","1993,1","1966,8","1914,1","1964,2",1947,"1949,1","1921,9","1966,4","2017,1",2010,"1975,4","2036,7","1985,2","2048,8","2046,4","2035,2","2070,5","2078,3","2092,3","2108,4","2095,7",2112,"2141,4","2183,2","2250,6"
Aragón,"1622,3","1544,6","1524,5","1474,2",1455,"1404,3","1350,9","1325,5","1274,8","1236,7","1209,3",1173,"1168,7","1170,7","1157,8","1170,9","1190,9","1212,1","1193,2","1193,2","1183,3","1188,5","1175,3","1189,2",1165,"1152,8","1168,8",1188,"1171,5","1186,9","1179,9","1216,9","1206,4","1223,9",1230,"1225,1","1214,7",1179,"1194,3","1202,6","1180,6","1195,1","1211,6","1238,3","1259,3","1274,8","1267,5","1289,8","1273,6","1285,9","1320,3","1333,6","1345,1",1392,1406,"1449,6","1494,6"
Asturias (Principado de ),"1562,2","1616,4","1595,4",1581,"1528,8","1515,5","1512,9","1455,4","1427,7","1360,6","1360,6","1342,9","1352,8","1307,1","1306,4","1273,4","1264,5","1271,2","1259,9","1286,6","1286,3","1266,3","1279,2","1269,6","1263,8",1254,"1288,7",1295,"1260,5","1274,2","1276,6","1276,6","1274,7","1303,7","1268,7","1269,8","1262,8","1270,5","1275,6","1247,3","1283,6","1285,3","1293,5","1280,9","1303,7","1319,5","1298,8","1300,1","1335,6","1361,8","1363,4","1347,2","1362,8","1400,4","1435,8","1473,1","1518,8"
Ávila             ,"1180,2","1189,6","1136,1","1148,6","1133,7","1148,4","1133,4","1094,9","995,3","952,5","913,4","881,4","895,6","874,9","856,6","828,9","823,4","818,5","838,6","877,9","849,6","852,1","856,7","867,7","844,4","838,5","815,7","835,2","838,2","828,3","842,5","821,5","840,7","810,8","810,6","801,8","817,3","788,7","807,7","817,3","797,2","817,4","844,1",839,"848,7","849,2","871,3","878,8",869,"860,4","888,9","884,1",902,"929,8","959,8","965,9","993,8"
Badajoz           ,"982,4","963,7","950,2","954,2","911,3","912,3","861,3","869,1",883,"900,7","905,2","854,5","858,6","838,2","856,2","865,8","883,2","878,6","875,8","882,3","889,7","891,2","856,8","858,9","877,1",860,"844,1","854,5","865,9","858,6",868,"870,9",854,"862,4","870,3","871,7","875,6","858,6","848,2","863,2","840,8","859,6","870,9","867,8","882,4","900,7","892,2","879,9","900,5","894,9","899,4","908,4","920,4","924,8","925,5","928,4","940,1"
Balears (Illes),"2039,5",2008,"1965,8","1950,1","1885,7","1859,3","1812,8","1800,5","1828,9","1835,2","1900,3","1866,1","1873,4",1901,"1897,2","1911,8","1875,2","1927,9","1957,5","2014,5","2054,7","2041,7",2040,"2070,4","2064,5","2108,2","2151,1","2205,4","2208,4","2214,2","2262,9","2272,7","2321,3","2324,8","2371,9","2425,2","2379,2","2332,8","2381,5","2398,1","2363,4","2443,8","2495,7","2546,2","2611,1","2630,6","2677,4","2696,6","2802,8","2869,9","2919,9","2957,7","3034,3","3108,7","3208,4","3316,7",3436
